Line,X,Y,Ch1,Ch2,Ch3,Ch4
Livs0125p_02,287625.61,2476410.08,-5.02,-2.58,-1.22,-0.6
Livs0125p_02,287625.49,2476410.08,-4.77,-2.3,-0.88,-0.16
Livs0125p_02,287625.38,2476410.09,-4.5,-2.15,-0.7,-0.06
Livs0125p_02,287625.27,2476410.09,-3.97,-1.97,-0.63,-0.15
Livs0125p_02,287625.15,2476410.09,-3.53,-1.69,-0.61,-0.07
Livs0125p_02,287625.03,2476410.1,-3.35,-1.61,-0.53,-0.16
Livs0125p_02,287624.91,2476410.1,-2.47,-0.99,-0.08,-0.08
Livs0125p_02,287624.79,2476410.11,-2.11,-0.73,-0.09,-0.09
Livs0125p_02,287624.67,2476410.11,-2.38,-0.99,-0.27,-0.24
Livs0125p_02,287624.55,2476410.12,-2.65,-1,-0.44,-0.24
Livs0125p_02,287624.43,2476410.12,-2.65,-0.98,-0.16,0.01
Livs0125p_02,287624.31,2476410.13,-2.73,-0.71,0,0.53
Livs0125p_02,287624.19,2476410.13,-2.83,-0.81,0.09,0.72
Livs0125p_02,287624.07,2476410.14,-2.93,-0.9,0.27,0.71
Livs0125p_02,287623.95,2476410.14,-3.1,-1.34,0.18,0.44
Livs0125p_02,287623.84,2476410.15,-3.64,-1.52,-0.08,0.11
Livs0125p_02,287623.72,2476410.15,-4.36,-2.15,-0.52,-0.09
Livs0125p_02,287623.61,2476410.16,-4.88,-2.4,-0.54,-0.44
Livs0125p_02,287623.49,2476410.16,-5.34,-2.75,-0.79,-0.62
Livs0125p_02,287623.38,2476410.17,-5.86,-2.86,-0.97,-0.77
Livs0125p_02,287623.26,2476410.17,-6.04,-3.03,-1.15,-0.6
Livs0125p_02,287623.14,2476410.18,-6.13,-3.38,-1.41,-0.79
Livs0125p_02,287623.03,2476410.18,-5.97,-3.38,-1.68,-0.87
Livs0125p_02,287622.91,2476410.18,-5.96,-3.63,-1.86,-0.97
Livs0125p_02,287622.8,2476410.18,-6.06,-3.73,-2.03,-1.39
Livs0125p_02,287622.68,2476410.18,-5.81,-3.54,-1.85,-1.06
Livs0125p_02,287622.56,2476410.18,-5.37,-3.19,-1.5,-0.71
Livs0125p_02,287622.45,2476410.18,-5.47,-2.94,-1.41,-0.78
Livs0125p_02,287622.33,2476410.18,-5.46,-2.85,-1.4,-0.8
Livs0125p_02,287622.22,2476410.18,-5.39,-2.49,-1.22,-0.8
Livs0125p_02,287622.1,2476410.18,-4.76,-2.14,-1.07,-0.62
Livs0125p_02,287621.99,2476410.18,-3.97,-1.87,-0.71,-0.26
Livs0125p_02,287621.88,2476410.18,-3.61,-1.7,-0.61,-0.09
Livs0125p_02,287621.76,2476410.18,-3.37,-1.62,-0.44,-0.09
Livs0125p_02,287621.65,2476410.18,-3.36,-1.52,-0.34,-0.08
Livs0125p_02,287621.54,2476410.19,-3.71,-1.52,-0.44,-0.27
Livs0125p_02,287621.43,2476410.19,-4.17,-1.68,-0.78,-0.35
Livs0125p_02,287621.32,2476410.19,-4.34,-1.78,-0.79,-0.25
Livs0125p_02,287621.21,2476410.19,-4.17,-1.86,-0.7,0.17
Livs0125p_02,287621.1,2476410.19,-4.53,-2.04,-0.8,0.01
Livs0125p_02,287620.99,2476410.19,-4.35,-2.06,-0.61,-0.08
Livs0125p_02,287620.87,2476410.19,-4.26,-1.78,-0.54,0.01
Livs0125p_02,287620.76,2476410.19,-4.18,-1.43,-0.36,-0.08
Livs0125p_02,287620.65,2476410.19,-4.35,-1.25,-0.45,-0.18
Livs0125p_02,287620.53,2476410.19,-4.09,-1.16,-0.26,-0.17
Livs0125p_02,287620.42,2476410.19,-3.72,-1.44,-0.43,-0.25
Livs0125p_02,287620.3,2476410.19,-3.45,-1.51,-0.36,-0.52
Livs0125p_02,287620.19,2476410.19,-3.28,-1.6,-0.36,-0.43
Livs0125p_02,287620.08,2476410.18,-3.45,-1.35,-0.35,-0.34
Livs0125p_02,287619.96,2476410.18,-3.37,-1.16,-0.27,-0.07
Livs0125p_02,287619.85,2476410.19,-2.84,-0.81,0.09,0.09
Livs0125p_02,287619.74,2476410.19,-2.05,-0.55,0.17,0.19
Livs0125p_02,287619.63,2476410.19,-2.12,-0.55,0.09,0.18
Livs0125p_02,287619.52,2476410.2,-2.58,-0.98,0,0.01
Livs0125p_02,287619.41,2476410.2,-2.75,-1.17,-0.26,-0.27
